State;Pop_Tot_00;Pop_Tot_01;IM_Loc_00;IM_Loc_01;IM_Int_00;IM_Int_01;Nb_Nai_00;Nb_Nai_01;Nb_DC_00;Nb_DC_01;Pop_inf_65_00;Pop_inf_65_01;Pop_sup_65_00;Pop_Sup_65_01
Alabama;4451493;4464356;-1434;-7966;714;3079;15812;64319;10622;45912;3870598;3880476;580895;583880
Alaska;627601;634892;-1611;-1091;379;1330;2496;10128;679;2949;591644;598036;35957;36856
Arizona;5165274;5307331;17259;75633;6124;22794;20486;84295;9486;41217;4492186;4614912;673088;692419
Arkansas;2678030;2692090;1101;964;739;2879;9341;38629;6557;28286;2303817;2318055;374213;374035
California;34000446;34501130;-19015;-69499;71852;271841;129777;530349;54040;231693;30389907;30845002;3610539;3656128
Colorado;4323410;4417714;8975;41164;3869;15791;15489;64358;6474;27670;3905062;3991482;418348;426232
Connecticut;3410079;3425074;-1526;-8102;2850;11974;10445;42898;7012;30820;2939604;2954602;470475;470472
Delaware;786234;796165;1169;4294;386;1691;2704;11158;1591;7001;684016;692223;102218;103942
District of Columbia;571066;571822;-2347;-4444;759;3275;1988;8193;1434;6155;501467;503634;69599;68188
Florida;16054328;16396515;31461;205303;27931;94499;50432;205675;38103;166069;13237167;13548077;2817161;2848438
Georgia;8229823;8383915;18776;59260;5634;22742;32900;135453;14804;65000;7440877;7582146;788946;801769
Hawaii;1212281;1224398;-3164;-3060;1198;5295;4550;18902;1940;8417;1050936;1060547;161345;163851
Idaho;1299258;1321006;1967;8457;753;2954;4769;19814;2283;9693;1152638;1171974;146620;149032
Illinois;12435970;12482301;-19476;-90810;15776;59384;45523;185671;25398;108905;10936030;10987716;1499940;1494585
Indiana;6089950;6114745;-325;-12197;1829;7515;21049;86077;12965;56214;5336614;5361273;753336;753472
Iowa;2927509;2923179;-2181;-16609;1067;3539;9154;37494;6685;28348;2491726;2490235;435783;432944
Kansas;2691750;2694641;-2160;-17146;1783;6144;9546;39166;5862;25183;2335613;2339821;356137;354820
Kentucky;4047424;4065556;762;616;766;3037;13360;55402;9231;40200;3542111;3559447;505313;506109
Louisiana;4469970;4465430;-7274;-35655;684;3113;17358;70075;9779;41854;3952722;3948155;517248;517275
Maine;1276961;1286670;1620;8513;146;742;3235;13270;2916;12596;1093185;1101813;183776;184857
Maryland;5310908;5375156;920;11719;5283;21620;18467;76136;10245;44600;4709391;4766272;601517;608884
Massachusetts;6357072;6379304;-3680;-20751;5013;20697;19929;81133;13251;57534;5496611;5519753;860461;859551
Michigan;9952006;9990817;-3427;-26995;4883;19332;33135;136143;20588;88704;8731644;8768123;1220362;1222694
Minnesota;4931093;4972294;2401;3252;2121;9755;16102;66439;9090;38273;4336057;4375626;595036;596668
Mississippi;2849100;2858029;-526;-8902;375;1495;11287;45683;6759;29172;2505127;2513104;343973;344925
Missouri;5603553;5629707;1029;-142;1783;6368;18648;76029;13114;55648;4848052;4875388;755501;754319
Montana;903157;904433;191;-1568;102;368;2610;10710;1950;8215;782010;782788;121147;121645
Nebraska;1712577;1713235;-1787;-11235;909;3066;5891;24301;3625;15253;1480423;1481814;232154;231421
Nevada;2018723;2106074;12883;57600;3355;13584;7284;29950;3492;15096;1796529;1871550;222194;234524
New Hampshire;1239881;1259181;2627;13605;341;1353;3415;14268;2272;9865;1091360;1108815;148521;150366
New Jersey;8429007;8484431;-8352;-30863;12170;48191;27759;111097;16778;72489;7315177;7370928;1113830;1113503
New Mexico;1821282;1829146;-2477;-10004;1161;4774;6669;27063;3150;13712;1608003;1612292;213279;216854
New York;18989332;19011378;-44761;-204875;30840;128286;63696;260076;37380;160466;16540139;16565610;2449193;2445768
North Carolina;8077367;8186268;11263;44420;4050;17141;29308;121535;16726;73231;7104587;7200948;972780;985320
North Dakota;640919;634448;-1835;-8554;111;456;1847;7605;1422;5957;546539;540692;94380;93756
Ohio;11359955;11373541;-7605;-41973;2420;10143;37904;157816;25497;110935;9851546;9866062;1508409;1507479
Oklahoma;3453250;3460097;-2496;-11120;1230;5209;12016;48311;8118;35149;2996776;3002636;456474;457461
Oregon;3429293;3472867;1213;17913;2753;11044;10956;45043;6937;30057;2990148;3030929;439145;441938
Pennsylvania;12282591;12287150;-7038;-23602;4231;18314;35530;144591;30511;132539;10364698;10378991;1917893;1908159
Rhode Island;1050236;1058920;642;3870;698;2957;3005;12370;2353;10218;897786;906631;152450;152289
South Carolina;4023438;4063011;4899;16325;1093;4470;14064;57266;8581;37613;3535770;3567172;487668;495839
South Dakota;755509;756600;-282;-2601;109;534;2550;10316;1672;7150;647396;648795;108113;107805
Tennessee;5702027;5740021;4545;8634;1564;6090;19489;79757;12823;56130;4996538;5027557;705489;712464
Texas;20946503;21325018;12278;62736;28144;106403;87961;359457;34933;150688;18863542;19206555;2082961;2118463
Utah;2241555;2269789;-1912;-13004;1943;7424;11199;46317;2901;12528;2050127;2074052;191428;195737
Vermont;609709;613090;440;1705;136;700;1545;6327;1202;5226;531993;534733;77716;78357
Virginia;7104016;7187734;8119;18299;5721;22619;24352;100188;13158;57337;6308235;6380181;795781;807553
Washington;5908372;5987973;425;21995;5249;22052;19388;80339;10365;44681;5244172;5317341;664200;670632
West Virginia;1807099;1801916;-1411;-4442;129;491;5041;20436;4937;21435;1530334;1526360;276765;275556
Wisconsin;5372243;5401906;1536;2974;1571;6056;16696;68631;11058;47276;4669153;4698404;703090;703502
Wyoming;494001;494423;-399;-2041;100;390;1480;6130;976;3980;436178;436217;57823;58206
